"","Date","Unknown","Male","Female","Customer","Subscriber","maximum.temperature","minimum.temperature","average.temperature","precipitation","snow.fall","snow.depth","Not.Available","Below.20","X21.to.30","X31.to.40","X41.to.50","X51.to.60","Above.60","Trips","Total.Miles.Travelled","Days","WeekendIndicator","Morethan38K"
"254","9/14/2016",4988,40806,13409,4762,54441,91,67,79,"0.56","0","0",4823,500,14525,17643,11589,7449,2674,58928,121511,"Wednesday",0,1
"255","9/15/2016",5901,46249,15181,5680,61651,74,61,67.5,"0","0","0",5706,594,16303,20209,12985,8434,3100,67312,140436,"Thursday",0,1
"256","9/16/2016",7018,43713,14544,7033,58242,73,61,67,"0","0","0",6846,535,15650,19279,12529,7746,2690,65257,145454,"Friday",1,1
"257","9/17/2016",14008,31579,13613,14590,44610,77,59,68,"0","0","0",13859,506,14342,15669,7840,4992,1992,59199,154037,"Saturday",1,1
"258","9/18/2016",11185,28600,11901,11346,40340,82,70,76,"0","0","0",11034,391,13171,13828,7014,4471,1777,51685,131788,"Sunday",1,1
"259","9/19/2016",2078,24603,7536,1905,32312,76,69,72.5,"0.68","0","0",1988,415,9266,10509,6535,4098,1406,34205,67180,"Monday",0,0
"260","9/20/2016",5288,44684,14919,5108,59783,82,68,75,"0","0","0",5114,575,16022,19546,12723,7991,2920,64881,135085,"Tuesday",0,1
"261","9/21/2016",5446,44756,15261,5209,60254,84,68,76,"0","0","0",5269,609,15796,19803,12829,8125,3032,65453,142356,"Wednesday",0,1
"262","9/22/2016",5987,46292,15531,5729,62081,86,65,75.5,"0","0","0",5803,615,16215,20292,13399,8398,3088,67762,146370,"Thursday",0,1
"263","9/23/2016",6794,43740,14983,6703,58814,87,64,75.5,"0.01","0","0",6583,512,15550,19562,12781,7792,2737,65499,142458,"Friday",1,1
"264","9/24/2016",11635,29128,12496,12027,41232,71,58,64.5,"0.2","0","0",11491,433,12998,14457,7296,4766,1818,53258,137355,"Saturday",1,1
"265","9/25/2016",12088,28784,12696,12433,41135,70,54,62,"0","0","0",11960,384,13350,14181,7150,4629,1914,53563,143312,"Sunday",1,1
"266","9/26/2016",5891,41442,14053,5641,55745,74,54,64,"0","0","0",5720,572,14954,18145,11830,7387,2778,61120,128011,"Monday",0,1
"267","9/27/2016",4850,42137,14359,4632,56714,74,64,69,"0.22","0","0",4655,535,15379,18695,11890,7424,2768,61334,122347,"Tuesday",0,1
"268","9/28/2016",3880,41869,13715,3483,55981,69,56,62.5,"0","0","0",3688,575,14520,18249,12113,7612,2707,59456,120072,"Wednesday",0,1
"269","9/29/2016",3468,39786,12324,3074,52504,64,57,60.5,"0","0","0",3291,593,14031,17113,11071,6956,2523,55550,104364,"Thursday",0,1
"270","9/30/2016",808,16461,4112,630,20751,59,56,57.5,"0.4","0","0",741,306,5778,6587,4291,2729,949,21368,45194,"Friday",1,0
"271","10/1/2016",5869,24457,9485,548,5384,62,56,59,"0","0","0",5765,370,10629,11523,5891,3961,1672,39809,91771,"Saturday",1,1
"272","10/2/2016",7258,24005,9760,692,6777,63,57,60,"0","0","0",7155,423,10617,11634,5819,3784,1591,41018,100425,"Sunday",1,1
"273","10/3/2016",5915,38034,12435,615,5291,72,60,66,"0","0","0",5755,516,13946,17025,10251,6456,2435,56369,116682,"Monday",0,1
"274","10/4/2016",4614,41857,13908,457,3911,69,60,64.5,"0","0","0",4428,540,15169,18700,11441,7290,2811,60196,123551,"Tuesday",0,1
"275","10/5/2016",5006,44913,15134,456,4237,67,53,60,"0","0","0",4796,610,15788,19599,12918,8301,3041,65031,126942,"Wednesday",0,1
"276","10/6/2016",6071,46140,15374,517,5286,73,55,64,"0","0","0",5877,609,16193,20071,13351,8362,3122,67580,137567,"Thursday",0,1
"277","10/7/2016",7682,43696,14518,660,6869,75,57,66,"0","0","0",7490,680,15504,18961,12538,7898,2825,65881,142612,"Friday",1,1
"278","10/8/2016",6473,20209,7943,648,6043,68,58,63,"0.23","0","0",6374,357,8948,9506,4918,3233,1289,34624,86818,"Saturday",1,0
"279","10/9/2016",2413,14267,5009,240,2145,65,51,58,"0.55","0","0",2364,309,6578,6558,2986,2093,801,21687,46334,"Sunday",1,0
"280","10/10/2016",6755,33782,11718,669,6138,64,47,55.5,"0","0","0",6619,443,13191,15403,8729,5611,2259,52248,107487,"Monday",0,1
"281","10/11/2016",4701,40682,13385,564,4042,63,46,54.5,"0","0","0",4525,644,14430,17506,11645,7360,2658,58754,113228,"Tuesday",0,1
"282","10/12/2016",5108,39420,13162,406,4402,66,53,59.5,"0","0","0",4947,568,14398,17243,10954,7026,2554,57497,119851,"Wednesday",0,1
"283","10/13/2016",4665,42967,13585,456,3950,67,53,60,"T","0","0",4487,620,15169,18170,12168,7730,2873,61209,117523,"Thursday",0,1
"284","10/14/2016",6014,41137,13415,658,5286,62,47,54.5,"0","0","0",5802,644,14686,17651,11850,7296,2637,60561,123000,"Friday",1,1
"285","10/15/2016",11243,28586,12163,1481,10535,65,45,55,"0","0","0",11115,538,12738,13706,7230,4863,1802,51991,138233,"Saturday",1,1
"286","10/16/2016",10414,26962,11494,1211,9789,69,53,61,"0","0","0",10310,489,12273,12918,6610,4571,1699,48866,126550,"Sunday",1,1
"287","10/17/2016",6129,42257,14271,711,5395,81,63,72,"0","0","0",5945,691,15054,18104,12374,7863,2626,62649,132131,"Monday",0,1
"288","10/18/2016",6384,46002,15854,827,5607,81,67,74,"0","0","0",6198,729,16489,20018,13359,8384,3063,68224,143635,"Tuesday",0,1
"289","10/19/2016",7089,46546,16137,744,6295,85,65,75,"0","0","0",6888,700,16864,20364,13395,8502,3059,69758,145347,"Wednesday",0,1
"290","10/20/2016",5544,43928,14202,635,4825,70,62,66,"0","0","0",5368,667,15596,18762,12458,7976,2847,63668,131686,"Thursday",0,1
"291","10/21/2016",2422,29557,8894,216,1974,69,57,63,"1.11","0","0",2310,507,10592,12433,8083,5205,1743,40865,80787,"Friday",1,1
"292","10/22/2016",2260,17319,5724,311,1886,57,47,52,"0.29","0","0",2196,356,7579,7582,3840,2712,1038,25301,55557,"Saturday",1,0
"293","10/23/2016",7691,24020,9752,831,7226,61,45,53,"0","0","0",7582,424,11045,11206,5668,4038,1500,41462,99878,"Sunday",1,1
"294","10/24/2016",4506,38299,12456,455,3848,62,47,54.5,"T","0","0",4352,613,13539,16195,11099,6990,2473,55254,106893,"Monday",0,1
"295","10/25/2016",3150,37544,11987,328,2560,52,43,47.5,"0","0","0",3007,500,13058,15930,10826,6953,2407,52667,96848,"Tuesday",0,1
"296","10/26/2016",3239,37376,11869,385,2626,51,38,44.5,"0","0","0",3085,540,12886,15645,10764,7018,2546,52466,103870,"Wednesday",0,1
"297","10/27/2016",590,16057,4411,63,340,55,40,47.5,"1.41","0","0",509,306,5452,6344,4477,2935,1035,21054,39660,"Thursday",0,0
"298","10/28/2016",2546,33913,9783,275,2033,51,42,46.5,"0","0","0",2406,449,11321,14038,9692,6210,2126,46233,89857,"Friday",1,1
"299","10/29/2016",7709,25027,9778,672,7175,64,39,51.5,"0","0","0",7587,432,10989,11382,6070,4398,1656,42513,103274,"Saturday",1,1
"300","10/30/2016",8109,20960,8696,699,7704,76,54,65,"0.56","0","0",8007,280,8975,9958,5289,3791,1465,37760,107572,"Sunday",1,0
"301","10/31/2016",4350,35002,10730,519,3763,54,44,49,"0","0","0",4199,517,12185,14516,10047,6338,2280,50071,107875,"Monday",0,1
"302","11/1/2016",3631,39495,12841,356,2927,58,40,49,"0","0","0",3440,567,13491,16677,11592,7489,2711,55944,110056,"Tuesday",0,1
"303","11/2/2016",4619,43051,14474,699,3905,70,54,62,"0","0","0",4437,574,14997,18565,12578,8051,2942,62133,133258,"Wednesday",0,1
"304","11/3/2016",3836,42274,13531,417,3142,72,57,64.5,"0","0","0",3662,574,14562,17980,12232,7857,2774,59632,124673,"Thursday",0,1
"305","11/4/2016",5291,39992,12594,694,4626,61,47,54,"0","0","0",5120,607,13478,17018,11662,7397,2595,57867,126507,"Friday",1,1
"306","11/5/2016",10326,27294,11069,1092,9798,62,44,53,"0","0","0",10213,466,11929,12793,6777,4761,1750,48687,128639,"Saturday",1,1
"307","11/6/2016",6304,23758,9351,839,5928,59,45,52,"0","0","0",6199,378,10661,11081,5641,3967,1486,39413,104186,"Sunday",1,1
"308","11/7/2016",3605,35316,10969,503,3027,53,41,47,"0","0","0",3425,520,12366,14571,10146,6537,2325,49883,106484,"Monday",0,1
"309","11/8/2016",4198,39406,12999,520,3533,66,41,53.5,"0","0","0",4005,502,13907,17058,11003,7426,2702,56589,123718,"Tuesday",0,1
"310","11/9/2016",1446,28434,8180,199,938,59,49,54,"0.06","0","0",1297,442,10019,11650,7791,5030,1831,38050,75883,"Wednesday",0,0
"311","11/10/2016",2955,36715,11201,356,2370,56,40,48,"0","0","0",2783,556,12405,15238,10442,6896,2551,50863,111472,"Thursday",0,1
"312","11/11/2016",3844,32094,9894,491,3301,63,41,52,"0","0","0",3690,426,11595,13464,8621,5880,2156,45826,105021,"Friday",1,1
"313","11/12/2016",5565,21135,7967,608,5116,50,37,43.5,"0","0","0",5444,317,9044,9450,5184,3776,1452,34664,86968,"Saturday",1,0
"314","11/13/2016",6030,22062,8718,810,5615,61,41,51,"0","0","0",5920,306,9816,10318,5110,3839,1501,36806,95679,"Sunday",1,0
"315","11/14/2016",3050,34878,10906,314,2436,62,46,54,"0","0","0",2869,539,11930,14577,9937,6593,2389,48810,113590,"Monday",0,1
"316","11/15/2016",664,17347,4885,69,342,56,47,51.5,"0","0","0",567,297,6438,7052,4507,2984,1051,22884,48797,"Tuesday",0,0
"317","11/16/2016",2596,38631,12115,316,1932,61,45,53,"0","0","0",2425,553,13312,16093,10979,7197,2783,53328,107831,"Wednesday",0,1
"318","11/17/2016",2884,38790,12221,368,2192,61,49,55,"0","0","0",2696,564,13196,16146,11244,7286,2763,53889,109418,"Thursday",0,1
"319","11/18/2016",3670,37860,11860,570,3034,64,44,54,"0","0","0",3515,541,12986,16002,10858,6993,2495,53370,109802,"Friday",1,1
"320","11/19/2016",6173,25009,10031,801,5662,63,37,50,"0.25","0","0",6058,479,10581,11648,6272,4539,1636,41208,98021,"Saturday",1,1
"321","11/20/2016",1511,14050,5056,185,1185,42,34,38,"0.31","T","0",1443,210,5828,6152,3526,2485,973,20616,45772,"Sunday",1,0
"322","11/21/2016",848,25194,6930,109,451,41,36,38.5,"0","0","0",732,384,8082,10039,7318,4775,1642,32964,69754,"Monday",0,0
"323","11/22/2016",1166,27752,7831,206,753,41,37,39,"0","0","0",1048,430,8482,11251,8169,5455,1914,36723,72592,"Tuesday",0,0
"324","11/23/2016",1667,25509,7290,207,1209,45,35,40,"0","0","0",1548,390,7261,10365,7550,5345,2007,34462,73005,"Wednesday",0,0
"325","11/24/2016",1829,7578,2715,226,1660,48,38,43,"0.03","0","0",1762,151,2564,3353,2054,1552,686,12122,42343,"Thursday",0,0
"326","11/25/2016",3006,13606,4368,420,2769,54,45,49.5,"0.02","0","0",2927,288,4161,5658,3777,2981,1188,20980,62444,"Friday",1,0
"327","11/26/2016",4002,14384,5425,602,3760,50,40,45,"0","0","0",3924,338,5148,6211,3835,3045,1310,23810,65654,"Saturday",1,0
"328","11/27/2016",2870,15444,5763,300,2570,50,39,44.5,"0","0","0",2790,252,5887,6990,3834,3060,1264,24076,74381,"Sunday",1,0
"329","11/28/2016",1912,30878,9301,188,1413,52,38,45,"0","0","0",1767,438,10147,12512,8981,6055,2191,42086,83300,"Monday",0,1
"330","11/29/2016",293,11314,2981,35,108,60,51,55.5,"0","0","0",219,168,4141,4370,2977,2063,650,14584,30989,"Tuesday",0,0
"331","11/30/2016",533,18716,5186,34,238,58,50,54,"0.73","0","0",441,274,6304,7534,5212,3467,1203,24434,52424,"Wednesday",0,0
"332","12/1/2016",1675,32217,9350,207,1153,54,42,48,"0.07","0","0",1527,453,10536,12942,9266,6278,2240,43233,90239,"Thursday",0,1
"333","12/2/2016",1905,31305,9161,272,1345,51,40,45.5,"0","0","0",1756,456,10378,12736,9040,5960,2045,42358,89092,"Friday",1,1
"334","12/3/2016",2722,19831,7301,445,2295,47,41,44,"T","0","0",2607,323,8325,8830,4801,3596,1372,29853,70853,"Saturday",1,0
"335","12/4/2016",2922,17923,6610,469,2539,47,39,43,"0","0","0",2824,264,7515,8103,4272,3262,1215,27454,71729,"Sunday",1,0
"336","12/5/2016",1575,26586,7771,173,1072,49,38,43.5,"0.19","0","0",1433,396,8897,10854,7505,5025,1822,35927,80214,"Monday",0,0
"337","12/6/2016",1210,24779,7343,178,791,46,37,41.5,"0.35","0","0",1103,352,7573,9901,7537,5090,1776,33325,67187,"Tuesday",0,0
"338","12/7/2016",1242,28563,8216,136,764,46,40,43,"0.09","0","0",1115,403,9195,11473,8199,5613,2023,38010,76605,"Wednesday",0,0
"339","12/8/2016",1127,29754,8745,189,668,45,35,40,"0","0","0",984,436,9468,12028,8753,5811,2146,39621,72219,"Thursday",0,1
"340","12/9/2016",953,25430,7164,139,567,39,29,34,"0","0","0",827,333,8210,10163,7337,4930,1747,33540,63950,"Friday",1,0
"341","12/10/2016",1460,15488,5431,187,1164,35,28,31.5,"0","0","0",1394,239,6072,6594,3918,3089,1073,22379,52716,"Saturday",1,0
"342","12/11/2016",1038,12478,4283,133,787,35,28,31.5,"0.03","0.4","0",992,177,4802,5382,3119,2374,953,17798,41740,"Sunday",1,0
"343","12/12/2016",838,22055,6144,114,452,46,34,40,"0.5","0","0",727,348,7111,8947,6216,4166,1522,29035,58701,"Monday",0,0
"344","12/13/2016",1193,29388,8444,181,744,43,35,39,"0","0","0",1074,397,9189,11868,8655,5786,2056,39023,68858,"Tuesday",0,1
"345","12/14/2016",1126,28538,8144,120,673,42,34,38,"0","0","0",1005,370,8606,11504,8514,5766,2043,37799,71798,"Wednesday",0,0
"346","12/15/2016",508,19691,4816,42,191,34,19,26.5,"0","T","0",426,250,5782,7628,5763,3817,1349,25002,45840,"Thursday",0,0
"347","12/16/2016",598,19171,4721,54,334,27,17,22,"0","0","0",515,229,5637,7392,5587,3830,1300,24484,48288,"Friday",1,0
"348","12/17/2016",170,5539,1284,26,95,39,24,31.5,"0.73","2.8","2",145,115,2004,2135,1285,976,333,6993,22363,"Saturday",1,0
"349","12/18/2016",599,11840,3856,67,397,58,31,44.5,"0.04","0","1",556,202,4579,5066,2750,2285,857,16295,38459,"Sunday",1,0
"350","12/19/2016",628,19831,5190,78,332,31,23,27,"0","0","0",549,256,5914,7627,5880,4033,1390,25648,50405,"Monday",0,0
"351","12/20/2016",792,21412,5481,69,473,33,20,26.5,"0","0","0",714,251,6219,8386,6164,4296,1655,27677,50408,"Tuesday",0,0
"352","12/21/2016",1036,23449,6140,135,696,40,30,35,"0","0","0",942,299,6699,9196,6798,4872,1819,30611,55746,"Wednesday",0,0
"353","12/22/2016",1152,23591,6146,100,764,49,37,43,"0","0","0",1055,269,6697,9188,6794,4989,1897,30874,56441,"Thursday",0,0
"354","12/23/2016",1401,19544,5399,144,1065,47,38,42.5,"0","0","0",1315,302,5106,7469,5807,4571,1774,26335,53318,"Friday",1,0
"355","12/24/2016",507,5743,1764,81,401,47,38,42.5,"0.47","0","0",475,107,1606,2163,1596,1407,660,8014,28033,"Saturday",1,0
"356","12/25/2016",2853,5181,1890,306,2786,50,36,43,"0","0","0",2826,104,1534,2109,1415,1265,671,9919,38209,"Sunday",1,0
"357","12/26/2016",1233,7264,2278,112,1103,50,33,41.5,"0.02","0","0",1206,124,2194,2897,1922,1641,791,10774,32446,"Monday",0,0
"358","12/27/2016",2939,17677,5339,317,2632,60,40,50,"0","0","0",2861,179,5652,7245,4591,3811,1616,25946,61379,"Tuesday",0,0
"359","12/28/2016",2140,16844,4617,344,1928,40,34,37,"0","0","0",2064,208,5194,6735,4504,3437,1459,23596,52937,"Wednesday",0,0
"360","12/29/2016",480,10337,2390,62,342,46,33,39.5,"0.39","0","0",426,130,3226,3984,2612,2043,786,13202,29631,"Thursday",0,0
"361","12/30/2016",2138,14987,4250,263,1917,40,33,36.5,"0.01","T","0",2073,199,4764,6010,3907,3126,1296,21366,45743,"Friday",1,0
"362","12/31/2016",2239,10192,3497,245,2056,44,31,37.5,"0","0","0",2188,192,3496,4298,2557,2259,938,15925,46810,"Saturday",1,0
